reE,imE,inv_abs_det
1.4239393939393938,-7.7272727272727275,0.00016455661246256572
1.4239393939393938,-7.575757575757576,0.00018731804382429032
1.4239393939393938,-7.424242424242424,0.00021340922791133446
1.4239393939393938,-7.2727272727272725,0.00024334835142770915
1.4239393939393938,-7.121212121212121,0.0002777401329008064
1.4239393939393938,-6.96969696969697,0.00031729150689534046
1.4239393939393938,-6.818181818181818,0.0003628304336686099
1.4239393939393938,-6.666666666666667,0.00041532852648794766
1.4239393939393938,-6.515151515151516,0.00047592836014948497
1.4239393939393938,-6.363636363636363,0.0005459765428816456
1.4239393939393938,-6.212121212121212,0.0006270639143009487
1.4239393939393938,-6.0606060606060606,0.0007210745938403755
1.4239393939393938,-5.909090909090909,0.0008302460732585965
1.4239393939393938,-5.757575757575758,0.0009572431589363734
1.4239393939393938,-5.606060606060606,0.0011052493731005955
1.4239393939393938,-5.454545454545454,0.0012780804844548042
1.4239393939393938,-5.303030303030303,0.0014803262501433304
1.4239393939393938,-5.151515151515151,0.001717528341228416
1.4239393939393938,-5.0,0.0019964049740107993
1.4239393939393938,-4.848484848484849,0.002325136236534362
1.4239393939393938,-4.696969696969697,0.0027137288513273523
1.4239393939393938,-4.545454545454546,0.0031744856831245672
1.4239393939393938,-4.393939393939394,0.00372261445855584
1.4239393939393938,-4.242424242424242,0.004377023053549118
1.4239393939393938,-4.090909090909091,0.005161367017465296
1.4239393939393938,-3.9393939393939394,0.006105441282173546
1.4239393939393938,-3.787878787878788,0.007247046097634765
1.4239393939393938,-3.6363636363636362,0.008634513020401002
1.4239393939393938,-3.484848484848485,0.010330159299326555
1.4239393939393938,-3.3333333333333335,0.012415062230815831
1.4239393939393938,-3.1818181818181817,0.014995730613540023
1.4239393939393938,-3.0303030303030303,0.0182135315219104
1.4239393939393938,-2.878787878787879,0.0222581571211122
1.4239393939393938,-2.727272727272727,0.027387059200068252
1.4239393939393938,-2.5757575757575757,0.033953726762221116
1.4239393939393938,-2.4242424242424243,0.04244900055740009
1.4239393939393938,-2.272727272727273,0.05356119175142287
1.4239393939393938,-2.121212121212121,0.06826176442198324
1.4239393939393938,-1.9696969696969697,0.08792056468633924
1.4239393939393938,-1.8181818181818181,0.11443798874559216
1.4239393939393938,-1.6666666666666667,0.1503239001894589
1.4239393939393938,-1.5151515151515151,0.1984983590361505
1.4239393939393938,-1.3636363636363635,0.26130255648584116
1.4239393939393938,-1.2121212121212122,0.3381452179500224
1.4239393939393938,-1.0606060606060606,0.4228092834230182
1.4239393939393938,-0.9090909090909091,0.5049618297425178
1.4239393939393938,-0.7575757575757576,0.5779073124369711
1.4239393939393938,-0.6060606060606061,0.6438218477245401
1.4239393939393938,-0.45454545454545453,0.7105623084010925
1.4239393939393938,-0.30303030303030304,0.7865928392250727
1.4239393939393938,-0.15151515151515152,0.8790062746455952
1.4239393939393938,0.0,0.9936435177289177
2.130909090909091,-15.0,9.619354264004886e-7
2.130909090909091,-14.848484848484848,1.0678895813466095e-6
2.130909090909091,-14.696969696969697,1.1859859727046557e-6
2.130909090909091,-14.545454545454545,1.3176723789735956e-6
2.130909090909091,-14.393939393939394,1.4645762087950065e-6
2.130909090909091,-14.242424242424242,1.628527696937199e-6
2.130909090909091,-14.090909090909092,1.8115862185063808e-6
2.130909090909091,-13.93939393939394,2.01607015787566e-6
2.130909090909091,-13.787878787878787,2.2445908324688686e-6
2.130909090909091,-13.636363636363637,2.500091044841512e-6
2.130909090909091,-13.484848484848484,2.785888921011483e-6
2.130909090909091,-13.333333333333334,3.1057277904777583e-6
2.130909090909091,-13.181818181818182,3.46383297592162e-6
2.130909090909091,-13.030303030303031,3.864976490621964e-6
2.130909090909091,-12.878787878787879,4.314550791987517e-6
2.130909090909091,-12.727272727272727,4.8186529136179104e-6
2.130909090909091,-12.575757575757576,5.384180499851412e-6
2.130909090909091,-12.424242424242424,6.0189415003706475e-6
2.130909090909091,-12.272727272727273,6.731779553484824e-6
2.130909090909091,-12.121212121212121,7.5327174014367656e-6
2.130909090909091,-11.969696969696969,8.433121046864664e-6
2.130909090909091,-11.818181818181818,9.445887785112513e-6
2.130909090909091,-11.666666666666666,1.0585661742564712e-5
2.130909090909091,-11.515151515151516,1.1869081128760784e-5
2.130909090909091,-11.363636363636363,1.3315062083908483e-5
2.130909090909091,-11.212121212121213,1.4945124790479421e-5
2.130909090909091,-11.06060606060606,1.6783768437850462e-5
2.130909090909091,-10.909090909090908,1.885890270618673e-5
2.130909090909091,-10.757575757575758,2.1202344698156206e-5
2.130909090909091,-10.606060606060606,2.3850391728318434e-5
2.130909090909091,-10.454545454545455,2.684448212014113e-5
2.130909090909091,-10.303030303030303,3.023195820762084e-5
2.130909090909091,-10.151515151515152,3.406694814970133e-5
2.130909090909091,-10.0,3.841138601007616e-5
2.130909090909091,-9.848484848484848,4.3336192915318783e-5
2.130909090909091,-9.696969696969697,4.892264608034266e-5
2.130909090909091,-9.545454545454545,5.5263967202723175e-5
2.130909090909091,-9.393939393939394,6.246716732224644e-5
2.130909090909091,-9.242424242424242,7.065519189652674e-5
2.130909090909091,-9.090909090909092,7.996941777356888e-5
2.130909090909091,-8.93939393939394,9.057256321092123e-5
2.130909090909091,-8.787878787878787,0.00010265208342117163
2.130909090909091,-8.636363636363637,0.00011642413771089414
2.130909090909091,-8.484848484848484,0.00013213823061169306
2.130909090909091,-8.333333333333334,0.00015008264908077695
2.130909090909091,-8.181818181818182,0.00017059084161932575
2.130909090909091,-8.030303030303031,0.00019404891394801712
2.130909090909091,-7.878787878787879,0.00022090445084686075
2.130909090909091,-7.7272727272727275,0.000251676916357214
2.130909090909091,-7.575757575757576,0.0002869699365753159
2.130909090909091,-7.424242424242424,0.0003274858330251891
2.130909090909091,-7.2727272727272725,0.00037404285297724547
2.130909090909091,-7.121212121212121,0.000427595639740955
2.130909090909091,-6.96969696969697,0.0004892596055706846
2.130909090909091,-6.818181818181818,0.0005603400183312305
2.130909090909091,-6.666666666666667,0.0006423667980936703
2.130909090909091,-6.515151515151516,0.0007371362511543651
2.130909090909091,-6.363636363636363,0.0008467612591939465
2.130909090909091,-6.212121212121212,0.0009737318066971227
2.130909090909091,-6.0606060606060606,0.0011209881914305512
2.130909090909091,-5.909090909090909,0.0012920098481093703
2.130909090909091,-5.757575757575758,0.0014909234600324283
2.130909090909091,-5.606060606060606,0.0017226349839119534
2.130909090909091,-5.454545454545454,0.0019929914300789026
2.130909090909091,-5.303030303030303,0.0023089798030286055
2.130909090909091,-5.151515151515151,0.002678972619479699
2.130909090909091,-5.0,0.0031130320178476005
2.130909090909091,-4.848484848484849,0.0036232878297909185
2.130909090909091,-4.696969696969697,0.00422440932788297
2.130909090909091,-4.545454545454546,0.004934195983047369
2.130909090909091,-4.393939393939394,0.005774319825138724
2.130909090909091,-4.242424242424242,0.006771261345426475
2.130909090909091,-4.090909090909091,0.007957492832249209
2.130909090909091,-3.9393939393939394,0.009372978153514056
2.130909090909091,-3.787878787878788,0.011067076799905314
2.130909090909091,-3.6363636363636362,0.013100962716380414
2.130909090909091,-3.484848484848485,0.015550694593534716
2.130909090909091,-3.3333333333333335,0.018511101796945387
2.130909090909091,-3.1818181818181817,0.02210067372934565
2.130909090909091,-3.0303030303030303,0.026467648887870673
2.130909090909091,-2.878787878787879,0.031797471227001786
2.130909090909091,-2.727272727272727,0.03832167579448983
2.130909090909091,-2.5757575757575757,0.04632801578961511
2.130909090909091,-2.4242424242424243,0.05617114662669457
2.130909090909091,-2.272727272727273,0.06828230682101366
2.130909090909091,-2.121212121212121,0.08317506821663591
2.130909090909091,-1.9696969696969697,0.10144243130307767
2.130909090909091,-1.8181818181818181,0.12373888480928215
2.130909090909091,-1.6666666666666667,0.15074110198219284
2.130909090909091,-1.5151515151515151,0.18308550995208597
2.130909090909091,-1.3636363636363635,0.22129285394010595
2.130909090909091,-1.2121212121212122,0.2657078243985812
2.130909090909091,-1.0606060606060606,0.3164951620996209
2.130909090909091,-0.9090909090909091,0.37372428964656923
2.130909090909091,-0.7575757575757576,0.43753457061356316
2.130909090909091,-0.6060606060606061,0.5083249794905427
2.130909090909091,-0.45454545454545453,0.5868953589294581
2.130909090909091,-0.30303030303030304,0.6744963124296044
2.130909090909091,-0.15151515151515152,0.772793022491516
2.130909090909091,0.0,0.8837778877072572
2.837878787878788,-15.0,1.369773909923647e-6
2.837878787878788,-14.848484848484848,1.5218938362084178e-6
2.837878787878788,-14.696969696969697,1.6915969734088848e-6
2.837878787878788,-14.545454545454545,1.8809989260503553e-6
2.837878787878788,-14.393939393939394,2.0924803158314837e-6
2.837878787878788,-14.242424242424242,2.3287213524115396e-6
2.837878787878788,-14.090909090909092,2.592741101164618e-6
2.837878787878788,-13.93939393939394,2.8879421125933904e-6
2.837878787878788,-13.787878787878787,3.218161176049696e-6
2.837878787878788,-13.636363636363637,3.5877270733940527e-6
2.837878787878788,-13.484848484848484,4.0015263386271756e-6
2.837878787878788,-13.333333333333334,4.465078180146667e-6
2.837878787878788,-13.181818181818182,4.9846198963761596e-6
2.837878787878788,-13.030303030303031,5.567204316882353e-6
2.837878787878788,-12.878787878787879,6.220811034186649e-6
2.837878787878788,-12.727272727272727,6.954473461483691e-6
2.837878787878788,-12.575757575757576,7.77842406448504e-6
2.837878787878788,-12.424242424242424,8.704260478711603e-6
2.837878787878788,-12.272727272727273,9.745135645121582e-6
2.837878787878788,-12.121212121212121,1.0915975586756912e-5
2.837878787878788,-11.969696969696969,1.2233729018598635e-5
2.837878787878788,-11.818181818181818,1.3717653645487718e-5
2.837878787878788,-11.666666666666666,1.5389644774746227e-5
2.837878787878788,-11.515151515151516,1.7274612769509167e-5
