E,redet,imdet
-14.45,-1.958813447252367e-7,0.0
-14.44,-1.97302439937524e-7,0.0
-14.43,-1.9871414693310668e-7,0.0
-14.42,-2.0011626245476787e-7,0.0
-14.41,-2.0150858254995504e-7,0.0
-14.4,-2.028909025770267e-7,0.0
-14.39,-2.042630172115542e-7,0.0
-14.38,-2.0562472045269309e-7,0.0
-14.37,-2.0697580562961623e-7,0.0
-14.36,-2.0831606540801018e-7,0.0
-14.35,-2.096452917966329e-7,0.0
-14.34,-2.109632761539443e-7,0.0
-14.33,-2.1226980919479288e-7,0.0
-14.32,-2.1356468099716837e-7,0.0
-14.31,-2.1484768100903265e-7,0.0
-14.3,-2.161185980551983e-7,0.0
-14.29,-2.1737722034428978e-7,0.0
-14.28,-2.186233354757601e-7,0.0
-14.27,-2.1985673044698371e-7,0.0
-14.26,-2.2107719166040908e-7,0.0
-14.25,-2.2228450493078916e-7,0.0
-14.24,-2.2347845549247458e-7,0.0
-14.23,-2.246588280067707e-7,0.0
-14.22,-2.2582540656937837e-7,0.0
-14.21,-2.2697797471789173e-7,0.0
-14.2,-2.281163154393751e-7,0.0
-14.19,-2.292402111780037e-7,0.0
-14.18,-2.3034944384277919e-7,0.0
-14.17,-2.3144379481532245e-7,0.0
-14.16,-2.3252304495772403e-7,0.0
-14.15,-2.3358697462048464e-7,0.0
-14.14,-2.3463536365051223e-7,0.0
-14.13,-2.3566799139920992e-7,0.0
-14.12,-2.3668463673061966e-7,0.0
-14.11,-2.3768507802965345e-7,0.0
-14.1,-2.3866909321039605e-7,0.0
-14.09,-2.396364597244776e-7,0.0
-14.08,-2.40586954569533e-7,0.0
-14.07,-2.415203542977273e-7,0.0
-14.06,-2.4243643502435863e-7,0.0
-14.05,-2.4333497243654747e-7,0.0
-14.04,-2.4421574180199023e-7,0.0
-14.03,-2.4507851797780757e-7,0.0
-14.02,-2.4592307541944913e-7,0.0
-14.01,-2.467491881897012e-7,0.0
-14.0,-2.4755662996775386e-7,0.0
-13.99,-2.4834517405836225e-7,0.0
-13.98,-2.491145934010814e-7,0.0
-13.97,-2.4986466057958076e-7,0.0
-13.96,-2.505951478310472e-7,0.0
-13.95,-2.5130582705566017e-7,0.0
-13.94,-2.5199646982615955e-7,0.0
-13.93,-2.5266684739748656e-7,0.0
-13.92,-2.533167307165193e-7,0.0
-13.91,-2.539458904318755e-7,0.0
-13.9,-2.5455409690382407e-7,0.0
-13.89,-2.551411202142542e-7,0.0
-13.88,-2.557067301767477e-7,0.0
-13.87,-2.56250696346737e-7,0.0
-13.86,-2.567727880317402e-7,0.0
-13.85,-2.5727277430168553e-7,0.0
-13.84,-2.5775042399933174e-7,0.0
-13.83,-2.5820550575076763e-7,0.0
